Name,Condition,Price,Shipping Cost,Location,Total Sold,Seller
"Benq Dual PC Monitor Screen Bundle 2x22"" Frameless HDMI Home Office + Stand",Very Good - Refurbished,$144.22,+$152.38 shipping estimate,from United Kingdom,N/A,"specola (94,887) 99.7%"
"LG 29UM68-P 29"" FHD 21:9 UltraWide IPS LED 2560 x 1080 Monitor Grade B 639879",Pre-Owned,$91.79,+$132.16 shipping estimate,from United Kingdom,154 sold,"refreshed_by_us (25,509) 99.7%"
"ONN 24"" Inch Full HD Gaming Desktop Computer Monitor 165 Hz 1ms HDMI Freesync",Open Box,$81.31,+$130.66 shipping,from United States,84 sold,"karmaelectronics (5,138) 98.6%"
LG 27” UltraGear FHD 1ms 165Hz Gaming Monitor w/AMD FreeSync ( 27GQ40W-B ),Open Box,$109.95,+$252.63 shipping,from United States,21 sold,"smartplan101 (7,132) 98.7%"
"US - Mini 7"" LCD CCTV Monitor PC Screen HDMI VGA AV RCA for Raspberry Pi DSLR",Brand New,$40.19,+$36.75 shipping,from United States,104 sold,"onvehicle886 (5,731) 97.6%"
15.6 Inch 1080P Gaming IPS HDR Screen Monitor Portable Screen w/ HDMI USB-C Used,Pre-Owned,$39.99,+$86.03 shipping,from United States,480 sold,eviciv_pc_store (519) 99.5%
"7"" 9"" 10.1"" Display Portable Monitor LCD Screen AV VGA HDMI Built-in Speakers",Brand New,$53.99 to $71.99,Free International Shipping,from China,N/A,"onvehicle886 (5,731) 97.6%"
"Dell Ultrasharp 2001FP LCD 20.1"" Retro Gaming Square Monitor DVI VGA S-video!",Pre-Owned,$39.99,+$141.79 shipping,from United States,93 sold,"ticktock1-2-3 (46,384) 94.6%"
"HP E243 23.8"" 1920x1080 Widescreen LED Monitor",Pre-Owned,$79.99,+$152.37 shipping,from United States,537 sold,"sunnking (141,638) 98.5%"
"Computer monitor HDMI screen for PC 17"" 19"" 20"" 22"" 23"" 24"" VGA DVI with Stand",Very Good - Refurbished,$39.14,+$114.35 shipping estimate,from United Kingdom,207+ sold,"the-technology-warehouse (12,665) 99.7%"
"Mini 7"" LCD CCTV PC Monitor Screen HD 1024*600 AV/RCA VGA HDMI 1080P w/ Speaker",Brand New,$52.79,Free International Shipping,from China,N/A,"onvehicle886 (5,731) 97.6%"
Dell 27 Inch FHD IPS LED Black and Silver Monitor with Eye Comfort Technology,Brand New,$177.95,+$96.29 shipping,from United States,N/A,"focuscamera (184,202) 99.1%"
"Samsung 27"" Essential Curved PC Monitor Full HD (1920 x 1080) 60Hz LED",Certified - Refurbished,$109.00,+$252.61 shipping,from United States,64 sold,"buydig (634,143) 99%"
"KOORUI GN06 27"" FHD Gaming Monitor 165Hz, IPS, 1ms, Adaptive Sync, (1920x1080P)",Brand New,$170.46,+$128.32 shipping estimate,from United Kingdom,38 sold,hamptonsproducts (174) 99.4%
"18.5"" Portable Monitor 1920*1080 100HZ USB C Gaming Monitor 100% sRGB VESA Used",Pre-Owned,$69.99,+$88.29 shipping,from United States,67 sold,eviciv_pc_store (519) 99.5%
Dell SE2422HX  24 Inch Display 1920x1080 FHD Computer Monitor,Brand New,$73.49,+$130.43 shipping,from United States,307 sold,"missouri-liquidation (24,620) 99.1%"
"Portable Monitor 16"" 2K QHD Type C Display 2560*1600 Second Extended Screen VESA",Brand New,$89.99,+$99.11 shipping,from United States,145 sold,"uperfect_us_official (3,005) 98.9%"
Multiple Monitor Triple Screen Bundle 66″ 3×22″ Trading Gaming Office SALE!!!,Good - Refurbished,$144.24,+$152.38 shipping estimate,from United Kingdom,N/A,"buyrefurb* (7,599) 99.6%"
"Xiaomi Mi 23.8” Desktop Monitor 1C (1920x1080), IPS, Narrow Bezel, Ultra-Thin ",Brand New,$118.01,+$111.31 shipping estimate,from United Kingdom,N/A,"best21buy (8,725) 99.6%"
"Used 16"" 2K 2560*1600 QHD 120Hz Portable Monitor w/VESA Eyecare Second Screen ",Pre-Owned,$89.99,+$252.05 shipping,from United States,206 sold,"uperfect_us_official (3,005) 98.9%"
Sceptre E209W-16003R 20' HD+ LED Monitor 1600x900 Monitor  NEW,Brand New,$49.99,+$78.13 shipping,from United States,63 sold,"kwickquality (1,082) 98.4%"
"Dell Professional Monitor P2414Hb 24"""" 1920x1080 Widescreen Black",Very Good - Refurbished,$54.74,+$158.95 shipping,from Germany,35 sold,"green-tradesug (3,809) 99.7%"
Samsung Odyssey G32A 32 inch Full HD 165Hz AMD FreeSync 1ms Flat Gaming Monitor,Brand New,$247.85,+$167.73 shipping estimate,from United Kingdom,N/A,"laptopoutletdirect (113,690) 98.7%"
"Dell P2214Hb 22"" LED Widescreen HD Monitor Grade A + HDMI with 90 days warranty!",Pre-Owned,$38.02,+$117.72 shipping estimate,from United Kingdom,N/A,"easytrading13 (1,133) 100%"
"KOORUI 24E3, Gaming Monitor, 24 Inch, HDMI, DP, 165Hz, 1080p, 1ms, IPS Display.",Brand New,$148.17,+$133.44 shipping estimate,from United Kingdom,N/A,hamptonsproducts (174) 99.4%
"AOC I1601FWUX 15.6"" FHD USB-C LCD Portable Monitor",Pre-Owned,$39.98,+$82.65 shipping,from United States,N/A,"epcsales (124,164) 99.4%"
"KYY HDMI 15.6"" Type-C FHD Portable Monitor, Gray, Model: K3",Open Box,$50.00,+$65.97 shipping,from United States,N/A,"aceofparts10 (133,299) 98.6%"
Name Brand 17in LCD Monitor for Desktop Computer PC (Grade A) - Lot(s) Available,Pre-Owned,$35.00,+$129.29 shipping,from United States,"1,207 sold","discountcomputerdepot (120,902) 98.4%"
"Dell Multi Screen TRIPLE MONITOR SCREEN BUNDLE  3 x 20"" DVI to HDMI converters",Very Good - Refurbished,$170.45,+$222.04 shipping estimate,from United Kingdom,91 sold,"specola (94,887) 99.7%"
Shop on eBay,Brand New,$20.00,N/A,N/A,N/A,N/A
Shop on eBay,Brand New,$20.00,N/A,N/A,N/A,N/A
"Dell P2212Hf 21.5"" LED/LCD Monitor DVI VGA With Stand and Cables",Pre-Owned,$40.00,+$129.44 shipping,from United States,26 sold,"juluplus (53,406) 96.7%"
"Dell P2412Hb 24"" 1920 x 1080 LCD Monitor w/Stand. Grade A",Pre-Owned,$50.00,+$129.74 shipping,from United States,142 sold,"juluplus (53,406) 96.7%"
"NEW 8"" PhisTek LCD Montior / RIMLESS / 800x600 / 1024x768 - VGA DISPLAY",Brand New,$34.00,+$96.78 shipping,from United States,51 sold,"jcs_computer_store (48,311) 96.7%"
"Dual 24"" PC Monitor Bundle 2x24"" FULL HD DVI VGA DVI- HDMI + Dual Stand GRADE B",Pre-Owned,$144.22,+$152.38 shipping estimate,from United Kingdom,N/A,"specola (94,887) 99.7%"
"Dual Monitor Bundle 2X22"" Full HD HDMI Monitors New Dual Stand USB-C VGA DVI",Good - Refurbished,$118.01 to $144.24,+$139.93 shipping estimate,from United Kingdom,N/A,"thetechyteam (48,224) 99.6%"
